Image number,Square,Radius,Circumference,Alcohol concentration
804,2063947.35,810.54,5617.9,0.0
805,2073897.71,812.49,5776.46,0.0
806,2073583.25,812.43,5780.38,0.0
810,1979178.37,793.72,5683.3,0.0
811,1979571.44,793.8,5686.07,0.0
812,1979526.52,793.79,5686.07,0.0
838,2087509.27,815.15,5577.13,0.0
839,2087745.11,815.2,5579.9,0.0
84,538431.3,413.99,4081.25,0.0
85,493194.22,396.22,4144.74,0.0
86,493036.99,396.15,4144.74,0.0
90,619393.1,444.03,4558.08,0.0
91,619168.48,443.95,4558.08,0.0
92,619460.48,444.05,4558.08,0.0
958,2034893.65,804.81,5562.97,0.0
959,2035208.1,804.88,5562.97,0.0
964,2037139.78,805.26,5471.71,0.0
965,1975831.63,793.05,5507.24,0.0
966,1975921.48,793.07,5507.24,0.0
970,2009377.6,799.75,5731.56,0.0
971,2008625.14,799.6,5734.34,0.0
972,2009096.83,799.7,5734.34,0.0
999,2193616.5,835.61,6126.89,0.0
0,2001430.86,798.17,8416.46,12.5
1,1999957.92,797.88,8416.46,12.5
10,2057518.31,809.28,7693.99,12.5
100,1732156.38,742.54,7933.64,12.5
1000,808044.36,507.16,3801.68,12.5
1001,807970.71,507.13,3798.99,12.5
1002,807907.58,507.11,3798.99,12.5
1003,1624684.37,719.13,7888.61,12.5
1004,1625662.82,719.35,7898.9,12.5
1005,1667294.42,728.5,7855.71,12.5
1006,1667431.19,728.53,7856.83,12.5
1007,1666810.45,728.4,7850.34,12.5
1008,1636194.34,721.68,9498.95,12.5
1009,1636478.41,721.74,9492.46,12.5
101,1732587.75,742.63,7945.5,12.5
1010,1739457.96,744.1,8578.72,12.5
1011,1739836.71,744.18,8574.92,12.5
1012,1739689.42,744.15,8574.92,12.5
1013,1761299.55,748.76,8486.44,12.5
1014,1761341.64,748.77,8486.44,12.5
1015,1864973.49,770.48,6859.21,12.5
1016,1865310.16,770.55,6863.01,12.5
1017,1865331.2,770.55,6863.01,12.5
1018,1816271.78,760.35,8464.1,12.5
1019,1816113.96,760.32,8465.21,12.5
102,1732556.18,742.62,7942.81,12.5
1020,1764771.48,749.5,8264.57,12.5
1021,1764571.58,749.45,8267.25,12.5
1022,1764592.63,749.46,8267.25,12.5
1023,1852800.69,767.96,8391.62,12.5
1024,1852863.82,767.97,8391.62,12.5
1025,1857450.97,768.92,8026.88,12.5
1026,1856893.36,768.81,8029.56,12.5
1027,1857461.49,768.93,8029.56,12.5
1028,1853116.32,768.03,7974.98,12.5
1029,1852937.46,767.99,7972.29,12.5
103,1724728.56,740.94,7992.48,12.5
1030,1800479.76,757.04,8767.96,12.5
1031,1801005.81,757.15,8767.96,12.5
1032,1800069.44,756.95,8783.62,12.5
1033,1258648.26,632.96,5671.43,12.5
1034,1258585.14,632.95,5671.43,12.5
1035,1396883.68,666.81,6968.08,12.5
1036,1396694.3,666.77,6968.08,12.5
1037,1396799.51,666.79,6971.88,12.5
1038,874705.41,527.66,4980.18,12.5
1039,874642.29,527.64,4980.18,12.5
104,1724507.62,740.9,7996.75,12.5
